price,make,model,year,mileage,engine_size,horsepower,fuel,transmission,drive_type,color,city,seller_type,doors,owners,accident,condition,service_history,trim,tuv_months,consumption_l_per_100km
2289.78,Ford,Kuga,2007,350000,2.0,110,diesel,automatic,rear,blue,Essen,dealer,3,6,yes,fair,partial,base,2.9,3.9
11615.87,Ford,Kuga,2020,71697,1.6,90,diesel,automatic,all,red,Essen,private,4,1,no,excellent,full,base,6.5,5.0
38840.53,Mercedes-Benz,GLS,2021,79719,1.6,110,petrol,automatic,rear,grey,Munich,private,5,4,no,excellent,full,s_line,8.4,5.9
7006.28,Audi,A4,2016,180197,3.0,210,diesel,automatic,rear,white,Nuernberg,dealer,4,1,no,good,partial,s_line,3.9,7.2
31844.66,Skoda,Enyaq,2025,14104,4.0,300,petrol,automatic,all,white,Bremen,private,4,1,no,excellent,full,sport,15.1,12.2
26021.39,BMW,1er,2023,37829,0.0,100,electric,manual,rear,black,Munich,private,5,1,no,excellent,full,sport,19.5,12.8
64792.73,Porsche,Boxster,2023,42984,3.0,180,diesel,automatic,all,white,Frankfurt,private,4,2,no,excellent,full,sport,0.4,7.1
9953.41,Audi,A5,2019,84216,4.0,300,petrol,manual,rear,white,Frankfurt,private,5,5,no,good,full,s_line,5.8,11.0
10052.71,Ford,Fiesta,2023,63400,0.0,200,electric,automatic,all,red,Cologne,dealer,5,3,no,excellent,partial,sport,5.4,16.8
15998.37,Volkswagen,Touran,2019,77787,1.2,70,petrol,manual,front,white,Cologne,private,3,2,no,excellent,full,s_line,10.5,5.3
1604.5,BMW,1er,1996,213352,3.0,210,hybrid,manual,all,silver,Nuernberg,dealer,4,1,no,fair,partial,base,1.8,4.5
21239.48,Mercedes-Benz,GLS,2017,113621,1.6,110,petrol,automatic,all,grey,Hamburg,private,4,2,no,good,partial,sport,12.3,6.6
31260.97,Porsche,Macan,2021,40180,1.0,60,petrol,manual,all,black,Bonn,dealer,5,2,no,excellent,full,sport,1.7,4.6
28604.8,BMW,X1,2023,36422,3.0,210,diesel,automatic,rear,white,Dresden,dealer,4,2,no,excellent,full,sport,19.3,7.2
46243.52,Audi,A6,2024,19262,2.0,140,diesel,automatic,front,red,Bonn,dealer,4,2,no,excellent,full,s_line,19.4,6.0
12931.72,Volkswagen,Touran,2018,87000,3.0,210,hybrid,automatic,all,blue,Hamburg,dealer,4,1,no,good,full,base,9.7,6.2
9004.74,Ford,Kuga,2018,131455,2.0,140,diesel,automatic,front,black,Munich,private,4,2,no,good,full,base,8.8,6.1
20887.13,Skoda,Kodiaq,2023,68047,2.5,180,hybrid,manual,front,silver,Dresden,dealer,5,1,no,excellent,full,base,18.5,6.1
48771.97,Porsche,Boxster,2022,37023,1.5,100,hybrid,automatic,rear,silver,Essen,dealer,5,5,no,excellent,partial,sport,6.1,5.1
33899.04,Mercedes-Benz,SLK,2020,75683,3.0,210,hybrid,automatic,rear,black,Frankfurt,private,4,1,no,excellent,full,amg,18.6,4.4
24174.59,Audi,A5,2025,16107,4.0,300,petrol,automatic,all,grey,Cologne,private,5,2,yes,good,full,base,10.3,11.7
7004.65,BMW,5er,2015,240630,3.0,210,hybrid,automatic,all,silver,Muenster,dealer,5,6,no,good,full,base,6.0,5.7
28328.79,Mercedes-Benz,GLE,2022,57191,3.0,210,hybrid,automatic,all,silver,Hamburg,private,4,6,no,excellent,full,sport,2.8,5.8
4147.99,Mercedes-Benz,CLA,2016,144722,2.0,180,petrol,automatic,rear,white,Stuttgart,dealer,4,4,yes,good,partial,base,1.9,7.0
3413.24,Ford,Focus,2013,221155,2.0,140,diesel,manual,front,blue,Munich,private,4,1,yes,fair,full,base,0.0,5.8
